Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4
Stadtwerke Eutin GmbH,Berliner Platz,1,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.133863,10.6153,2022-08-22,150,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,DC Kupplung Combo,50,,AC Steckdose Typ 2,22,,,,
Stadtwerke Eutin GmbH,Segenhörn,1,Parkplatz,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.134944,10.616075,2022-08-22,150,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
Stadtwerke Eutin GmbH,Riemannstraße,46,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.14211,10.61366,2023-05-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Elisabethstraße,20,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13537,10.60931,2023-05-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Schlossplatz,5,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13833,10.6198,2023-05-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Holstenstraße,6,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.14201,10.61252,2023-04-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Segenhörn,0,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.134961,10.615996,2023-06-05,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Bleekergang,1a,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.14015,10.61628,2023-05-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Röntgenstraße,1,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.12348,10.635875,2023-04-13,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Am Stadtgraben,6,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13665,10.61494,2023-05-25,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Kreis Ostholstein,Jungfernstieg,1,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13361,10.61928,2019-10-09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
EMI ElektroMobilitätsInfrastruktur GmbH,Elisabethstraße,22,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.135346,10.607631,2023-05-15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Comfort Charge,Am Mühlenberg,2,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13626,10.61152,2023-01-22,200,Schnellladeeinrichtung,2,DC Kupplung Combo,200,,DC Kupplung Combo,200,,,,,,,
HanseWerk Charging Station,Süseler Moor,2,,23701,Süsel,Schleswig-Holstein,Kreis Ostholstein,54.075787,10.68777,2022-04-27,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Lidl,Bürgermeister-Steenbock-Str.,22-24,LDE_6617_T54-IT1-4121-061,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.128977,10.621966,2021-12-07,93,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",50,,"AC Kupplung Typ 2, DC Kupplung Combo",50,,"AC Kupplung Typ 2, DC CHAdeMO",44,,,,
Gemeindeqwerke Malente AöR,Bahnhofstraße,40,,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.17204,10.55636,2022-03-08,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Gemeindeqwerke Malente AöR,Hindenburgallee,0,,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.167134,10.55098,2022-05-03,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Gemeindeqwerke Malente AöR,Sebastian-Kneipp-Straße,0,,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.171166,10.54932,2022-03-08,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Gemeindeqwerke Malente AöR,Neversfelder Straße,11,ggü.,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.177696,10.555366,2021-12-14,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Gemeindeqwerke Malente AöR,Marktstraße,0,,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.173778,10.55762,2022-02-02,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Bahnhofstraße,0,,23714,Malente,Schleswig-Holstein,Kreis Ostholstein,54.172298,10.556858,2018-10-30,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Hauptstraße,2a,,23715,Bosau/Hutzfeld,Schleswig-Holstein,Kreis Ostholstein,54.090144,10.48643,2018-10-30,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Bischof-Vicelin-Damm,0,,23715,Bosau/Hutzfeld,Schleswig-Holstein,Kreis Ostholstein,54.105376,10.427903,2021-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Neustädter Bucht Ost,0,BAB1,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.068004,10.756057,2017-09-20,93,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,,"DC Kupplung Combo, DC CHAdeMO",50,,,,,,,
E.ON Drive GmbH,Neustädter Bucht West,0,BAB1,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.07115,10.75624,2017-09-20,93,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,,"DC Kupplung Combo, DC CHAdeMO",50,,,,,,,
Stadtwerke Eutin GmbH,Am Fahrenkrog,0,,23730,Sierksdorf,Schleswig-Holstein,Kreis Ostholstein,54.071558,10.778642,2018-12-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.093904513712,10.799539089203,2020-04-09,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.093904513712,10.799539089203,2020-04-09,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
ancora Marina GmbH & Co. KG,An der Wiek,7-15,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09445,10.79749,2023-06-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Ostsee-Campingplatz Kagelbusch L. Gosch GmbH & Co.KG,Kagelbusch,1,,23730,Schashagen OT Bliesdorf,Schleswig-Holstein,Kreis Ostholstein,54.1262555,10.9280692,2021-04-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Comfort Charge,Ziegeleiweg,40-44,,23730,Neustadt,Schleswig-Holstein,Kreis Ostholstein,54.09928,10.82748,2020-06-25,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150,,AC Kupplung Typ 2,22,,,,,,,
EWE Go GmbH,Eutiner Straße,59,,23730,Neustadt/Holstein,Schleswig-Holstein,Kreis Ostholstein,54.09996,10.794668,2023-09-13,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,DC Kupplung Combo,150,,,,,,,
famila,Rettiner Weg,77,,23730,Neustadt i.H.,Schleswig-Holstein,Kreis Ostholstein,54.103684,10.833596,2023-11-24,150,Schnellladeeinrichtung,2,DC Kupplung Combo,75,,DC Kupplung Combo,75,,,,,,,
famila,Rettiner Weg,77,,23730,Neustadt i.H.,Schleswig-Holstein,Kreis Ostholstein,54.103684,10.833596,2023-11-24,150,Schnellladeeinrichtung,2,DC Kupplung Combo,75,,DC Kupplung Combo,75,,,,,,,
famila,Rettiner Weg,77,,23730,Neustadt i.H.,Schleswig-Holstein,Kreis Ostholstein,54.103684,10.833596,2023-11-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
GP JOULE Connect GmbH,Eutiner Str.,73,,23730,Neustadt,Schleswig-Holstein,Kreis Ostholstein,54.098969,10.792578,2019-07-24,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
Lidl,Eutiner Str.,71,LDE_6030_T65-IT1-0423-216,23730,Neustadt,Schleswig-Holstein,Kreis Ostholstein,54.099253,10.794518,2023-11-10,75,Schnellladeeinrichtung,3,"AC Kupplung Typ 2, DC Kupplung Combo",60,,"AC Steckdose Typ 2, AC Kupplung Typ 2",11,,"AC Kupplung Typ 2, DC Kupplung Combo",60,,,,
E.ON Drive Infrastructure,Raststätte Neustädter Bucht West,0,BAB1,23730,Sierksdorf,Schleswig-Holstein,Kreis Ostholstein,54.070886,10.755442,2023-11-22,98,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
E.ON Drive Infrastructure,Raststätte Neustädter Bucht Ost,0,BAB1,23730,Sierksdorf,Schleswig-Holstein,Kreis Ostholstein,54.068219,10.756875,2023-11-22,98,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
nonoxx pro,Auf der Pelzerwiese,24,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.088213,10.872796,2023-02-28,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Am Gogenkoog,1,Öffentlicher Parkplatz,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.107008,10.806218,2023-02-28,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Auf der Pelzerwiese,24,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.088213,10.872796,2022-12-07,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Akazienweg,0,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.109288,10.817476,2023-11-09,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Akazienweg,0,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.109288,10.817476,2023-11-09,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Am Gogenkoog,0,,23730,Neu,Schleswig-Holstein,Kreis Ostholstein,54.107008,10.806218,2023-11-07,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Strandweg,94,,23730,Neustadt in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.095302,10.890037,2023-11-09,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Akazienweg,0,,23730,Neustadt i. Holstein,Schleswig-Holstein,Kreis Ostholstein,54.109288,10.817476,2023-11-09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Akazienweg,0,,23730,Neustadt i. Holstein,Schleswig-Holstein,Kreis Ostholstein,54.109288,10.817476,2023-11-09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
nonoxx pro,Strandweg,94,,23730,Neustadt i. Holstein,Schleswig-Holstein,Kreis Ostholstein,54.095302,10.890037,2023-11-09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
VR Bank zdM eG- Zum Windpark,Zum Windpark,9,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.2203639,10.9001068,2023-04-04,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
VR Bank zdM eG- Zum Windpark,Zum Windpark,9,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.2203639,10.9001068,2023-04-04,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
VR Bank zdM eG- Zum Windpark,Zum Windpark,9,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.2203639,10.9001068,2023-04-04,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Buchladen Lensahn,Bäderstr.,8a,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.21972,10.88767,2022-05-02,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Lübecker Straße,28,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.213946,10.881713,2017-03-22,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Eutiner Str.,4a,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.220016,10.884069,2017-03-22,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Dieselstraße,4,bei Nr. 4,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.218255,10.897136,2019-09-25,93,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,,"DC Kupplung Combo, DC CHAdeMO",50,,,,,,,
E.ON Drive GmbH,Dieselstraße,2,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.217937,10.897398,2019-09-25,72,Schnellladeeinrichtung,2,AC Kupplung Typ 2,50,,"DC Kupplung Combo, DC CHAdeMO",22,,,,,,,
HanseWerk Charging Station,Eutiner Straße,2,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.22004,10.88417,2017-03-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
HanseWerk Charging Station,Doktor-Julius-Stinde-Straße,0,,23738,Lensahn,Schleswig-Holstein,Kreis Ostholstein,54.21384,10.88137,2017-03-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Tourismus-Service Grömitz,Königsredder,0,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1388469866431,10.9462559223175,2022-11-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Ostseeheimat,Neustädter Str.,40,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1519203134688,10.9497622642297,2023-09-14,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Thomas Knop,Neustädter Straße,40,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.15186,10.94991,2023-08-01,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,,AC Steckdose Typ 2,11,,,,,,,
Gemeinde Grömitz,Bäderstraße,38,,23743,Grömitz/Cismar,Schleswig-Holstein,Kreis Ostholstein,54.1903212551471,10.984544456005,2023-01-18,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Blankwasserweg,138,,23743,Grömitz/Lensterstrand,Schleswig-Holstein,Kreis Ostholstein,54.1595254930584,10.9989318251609,2023-01-18,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Gildestraße,58,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1448259938003,10.9554666280746,2023-01-18,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Pappelallee,48,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1453570472217,10.9629982709884,2023-01-18,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Schützenstraße,20,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1484834071879,10.9664690494537,2023-01-18,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Am Strande,6,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.144581,10.959313,2017-06-01,50,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
Gemeinde Grömitz,Rathausplatz,11,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.1508472034,10.9584024132,2017-06-01,22,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,
GP JOULE Connect GmbH,Cismarfelde,16,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.202575,10.965724,2017-05-09,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
nonoxx pro,Königsredder,0,,23743,Grömitz,Schleswig-Holstein,Kreis Ostholstein,54.138847,10.946256,2022-11-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Eutin GmbH,Eutiner Straße,0,,23744,Schönwalde am Bungsberg,Schleswig-Holstein,Kreis Ostholstein,54.187646,10.753807,2018-10-30,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Am Obstgarten,10,,23746,Kellenhusen,Schleswig-Holstein,Kreis Ostholstein,54.190202,11.054999,2020-12-17,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
FKK-Camping Ostsee GmbH,Rosenfelder Strand,2,,23749,Grube,Schleswig-Holstein,Kreis Ostholstein,54.1529,11.0447,2023-10-16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Vattenfall InCharge,Am Voßberg,18,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.2918829,10.9176437,2020-12-14,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
Vattenfall InCharge,Am Voßberg,18,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.2918829,10.9176437,2020-12-14,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
Stadtwerke Oldenburg in Holstein GmbH,Hopfenmarkt,0,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.2933,10.88792,2019-04-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Oldenburg in Holstein GmbH,Kieler Chaussee,0,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.28709,10.88792,2019-04-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Heinrich Berg e.K.,Schuhstraße,0,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.287102,10.880287,2021-01-19,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,
EWE Go GmbH,Dannauer Bruch,1,,23758,Oldenburg in Holstein,Schleswig-Holstein,Kreis Ostholstein,54.296939,10.866525,2022-08-23,130,Schnellladeeinrichtung,2,DC Kupplung Combo,130,,DC Kupplung Combo,130,,,,,,,
famila,Am Voßberg,1,,23758,Oldenburg,Schleswig-Holstein,Kreis Ostholstein,54.292711,10.910778,2021-01-13,75,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",11,,DC Kupplung Combo,50,,"DC Kupplung Combo, DC CHAdeMO",50,,,,
GP JOULE Connect GmbH,Bankendorfer Weg,1,,23758,Gremersdorf,Schleswig-Holstein,Kreis Ostholstein,54.331975,10.933026,2021-08-18,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,"DC Kupplung Combo, DC CHAdeMO",150,,,,,,,
GP JOULE Connect GmbH,Bankendorfer Weg,1,,23758,Gremersdorf,Schleswig-Holstein,Kreis Ostholstein,54.331975,10.933026,2021-08-18,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,"DC Kupplung Combo, DC CHAdeMO",150,,,,,,,
Camping- und Ferienpark Wulfener Hals,Wulfener Hals Weg,100,Camping- und Ferienpark Wulfener Hals,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.242699,11.102764,2022-12-06,100,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
Camping- und Ferienpark Wulfener Hals,Wulfener Hals Weg,100,Camping- und Ferienpark Wulfener Hals,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.242699,11.102764,2022-12-07,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Camping- und Ferienpark Wulfener Hals,Wulfener Hals Weg,100,Camping- und Ferienpark Wulfener Hals,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.242699,11.102764,2022-12-07,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Camping- und Ferienpark Wulfener Hals,Wulfener Hals Weg,100,Camping- und Ferienpark Wulfener Hals,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.242699,11.102764,2022-12-07,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
CLEVER A/S,Mummendorfer Weg,7,,23769,Burg auf Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.443061,11.178431,2015-12-22,86,Schnellladeeinrichtung,3,AC Kupplung Typ 2,43,,DC Kupplung Combo,50,,DC CHAdeMO,50,,,,
E.ON Drive GmbH,Osterstraße,45 - 50,,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.43818,11.2,2017-04-07,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Mühlenstrasse,6,,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.44039,11.19432,2018-12-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
E.ON Drive GmbH,Bahnhofstraße,30,,23769,Fehmarn,Schleswig-Holstein,Kreis Ostholstein,54.44039,11.19432,2019-02-25,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
