Unnamed: 0,Modell (Benzin),consumption_per_100km,fuel_type,unit,Modell (Diesel),Modell,kWh/100km
14,,,electricity,kWh,,Hyundai Kona (277),15.9
15,,,electricity,kWh,,Renault Scenic (11),16.3
16,,,electricity,kWh,,Nissan Leaf (185),16.3
17,,,electricity,kWh,,BMW i3 (305),16.4
18,,,electricity,kWh,,Fiat 500 (173),16.5
19,,,electricity,kWh,,Renault Megane (73),16.5
20,,,electricity,kWh,,Opel Ampera (24),16.6
21,,,electricity,kWh,,Renault ZOE (511),16.7
22,,,electricity,kWh,,Kia Soul (68),16.8
23,,,electricity,kWh,,Mini Mini Cooper SE (129),17.1
24,,,electricity,kWh,,Kia Niro (174),17.2
25,,,electricity,kWh,,Opel Corsa (131),17.3
26,,,electricity,kWh,,Opel Mokka (50),17.5
27,,,electricity,kWh,,MG ZS (37),17.5
28,,,electricity,kWh,,Peugeot 208 (97),17.7
29,,,electricity,kWh,,Renault Fluence (11),17.8
30,,,electricity,kWh,,Hyundai Ioniq 6 (34),18.0
31,,,electricity,kWh,,Citroen C4 (27),18.1
32,,,electricity,kWh,,MG MG4 (106),18.2
33,,,electricity,kWh,,Tesla Motors Model 3 (701),18.3
34,,,electricity,kWh,,Volkswagen ID.7 (18),18.3
35,,,electricity,kWh,,Toyota bZ4X (22),18.3
36,,,electricity,kWh,,MG MG5 (25),18.4
37,,,electricity,kWh,,Volkswagen ID.3 (210),18.5
38,,,electricity,kWh,,Cupra Born (127),18.6
39,,,electricity,kWh,,Mazda MX-30 (52),18.9
40,,,electricity,kWh,,Peugeot 2008 (37),18.9
41,,,electricity,kWh,,BYD Atto 3 (23),19.1
42,,,electricity,kWh,,Tesla Motors Model Y (363),19.7
43,,,electricity,kWh,,Volkswagen ID.5 (38),19.7
44,,,electricity,kWh,,Honda Honda e (18),19.8
45,,,electricity,kWh,,Volvo EX30 (15),19.8
46,,,electricity,kWh,,Ora Funky Cat (14),19.9
47,,,electricity,kWh,,BMW iX1 (44),19.9
48,,,electricity,kWh,,Mercedes-Benz EQE (27),20.0
49,,,electricity,kWh,,Volkswagen ID.4 (141),20.1
50,,,electricity,kWh,,Hyundai Ioniq 5 (171),20.5
