id;standort;anzahl_ladepunkte;ladesaeule_status;adresse;koordinaten;typ;ladepunkt;stecker;status;authmethod_1;authmethod_2;the_geom;coordinate_reference_system
APP_STROMNETZ_EMOBILITY_8556595;534;2;belegt;Heimhuder Straße 38;N53.566752 E9.992543;;+49 8003006070;;unbekannt;unbekannt;;POINT (565733.444728 5935778.125619);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556596;534;2;belegt;Heimhuder Straße 38;N53.566752 E9.992543;;+49 8003006070;;unbekannt;unbekannt;;POINT (565733.444728 5935778.125619);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556597;535;2;teilweise belegt;Kleiner Schäferkamp 38;N53.566331 E9.967547;;+49 8003006070;;unbekannt;unbekannt;;POINT (564078.710311 5935708.507174);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556598;535;2;teilweise belegt;Kleiner Schäferkamp 38;N53.566331 E9.967547;;+49 8003006070;;unbekannt;unbekannt;;POINT (564078.710311 5935708.507174);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556599;536;2;teilweise belegt;Süderstraße 26;N53.544520 E10.027920;;+49 8003006070;;unbekannt;unbekannt;;POINT (568111.993100 5933338.122322);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556600;536;2;teilweise belegt;Süderstraße 26;N53.544520 E10.027920;;+49 8003006070;;unbekannt;unbekannt;;POINT (568111.993100 5933338.122322);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556601;537;2;teilweise belegt;Tarpenbekstraße 47;N53.593928 E9.983795;;+49 8003006070;;unbekannt;unbekannt;;POINT (565112.328750 5938793.356714);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556602;537;2;teilweise belegt;Tarpenbekstraße 47;N53.593928 E9.983795;;+49 8003006070;;unbekannt;unbekannt;;POINT (565112.328750 5938793.356714);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556603;538;2;teilweise belegt;Hühnerposten 14;N53.549784 E10.009688;;+49 8003006070;;unbekannt;unbekannt;;POINT (566895.640547 5933906.446972);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556604;538;2;teilweise belegt;Hühnerposten 14;N53.549784 E10.009688;;+49 8003006070;;unbekannt;unbekannt;;POINT (566895.640547 5933906.446972);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556605;539;2;teilweise belegt;Elbchaussee 137;N53.546009 E9.914352;;+49 8003006070;;unbekannt;unbekannt;;POINT (560584.827386 5933401.172985);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556606;539;2;teilweise belegt;Elbchaussee 137;N53.546009 E9.914352;;+49 8003006070;;unbekannt;unbekannt;;POINT (560584.827386 5933401.172985);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556607;540;2;frei;Bernadottestraße 212;N53.548510 E9.888410;;+49 8003006070;;unbekannt;unbekannt;;POINT (558862.484932 5933657.652368);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556608;540;2;frei;Bernadottestraße 212;N53.548510 E9.888410;;+49 8003006070;;unbekannt;unbekannt;;POINT (558862.484932 5933657.652368);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556609;541;2;belegt;Große Bahnstraße 30;N53.573960 E9.936910;;+49 8003006070;;unbekannt;unbekannt;;POINT (562038.569603 5936530.086583);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556610;541;2;belegt;Große Bahnstraße 30;N53.573960 E9.936910;;+49 8003006070;;unbekannt;unbekannt;;POINT (562038.569603 5936530.086583);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556611;542;2;teilweise belegt;Hegestraße 80;N53.585370 E9.987855;;+49 8003006070;;unbekannt;unbekannt;;POINT (565394.243127 5937845.018084);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556612;542;2;teilweise belegt;Hegestraße 80;N53.585370 E9.987855;;+49 8003006070;;unbekannt;unbekannt;;POINT (565394.243127 5937845.018084);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556613;543;2;frei;Warnholtzstraße 7;N53.555237 E9.945229;;+49 8003006070;;unbekannt;unbekannt;;POINT (562617.054969 5934454.472460);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556614;543;2;frei;Warnholtzstraße 7;N53.555237 E9.945229;;+49 8003006070;;unbekannt;unbekannt;;POINT (562617.054969 5934454.472460);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556615;544;2;frei;Oelkersallee 1A;N53.561728 E9.953726;;+49 8003006070;;unbekannt;unbekannt;;POINT (563170.256250 5935184.085481);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556616;544;2;frei;Oelkersallee 1A;N53.561728 E9.953726;;+49 8003006070;;unbekannt;unbekannt;;POINT (563170.256250 5935184.085481);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556617;545;2;belegt;Herrengraben 74;N53.548090 E9.983210;;+49 8003006070;;unbekannt;unbekannt;;POINT (565144.025792 5933693.451714);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556618;545;2;belegt;Herrengraben 74;N53.548090 E9.983210;;+49 8003006070;;unbekannt;unbekannt;;POINT (565144.025792 5933693.451714);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556619;546;2;frei;Laufgraben 31;N53.567000 E9.975300;;+49 8003006070;;unbekannt;unbekannt;;POINT (564591.142183 5935789.936356);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556620;546;2;frei;Laufgraben 31;N53.567000 E9.975300;;+49 8003006070;;unbekannt;unbekannt;;POINT (564591.142183 5935789.936356);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556621;547;2;teilweise belegt;Schiffbeker Weg 83;N53.547040 E10.106530;;+49 8003006070;;unbekannt;unbekannt;;POINT (573316.307362 5933696.505903);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556622;547;2;teilweise belegt;Schiffbeker Weg 83;N53.547040 E10.106530;;+49 8003006070;;unbekannt;unbekannt;;POINT (573316.307362 5933696.505903);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556623;548;2;teilweise belegt;Trenknerweg 2;N53.549350 E9.904910;;+49 8003006070;;unbekannt;unbekannt;;POINT (559954.495119 5933764.862944);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556624;548;2;teilweise belegt;Trenknerweg 2;N53.549350 E9.904910;;+49 8003006070;;unbekannt;unbekannt;;POINT (559954.495119 5933764.862944);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556625;549;2;teilweise belegt;Bergedorfer Schloßstraße 10;N53.488160 E10.213981;;+49 8003006070;;unbekannt;unbekannt;;POINT (580547.085118 5927262.423440);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556626;549;2;teilweise belegt;Bergedorfer Schloßstraße 10;N53.488160 E10.213981;;+49 8003006070;;unbekannt;unbekannt;;POINT (580547.085118 5927262.423440);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556627;550;2;teilweise belegt;Tieloh 81;N53.593230 E10.051420;;+49 8003006070;;unbekannt;unbekannt;;POINT (569589.083157 5938779.688387);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556628;550;2;teilweise belegt;Tieloh 81;N53.593230 E10.051420;;+49 8003006070;;unbekannt;unbekannt;;POINT (569589.083157 5938779.688387);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556629;551;2;frei;Schmarjestraße 50;N53.549039 E9.936738;;+49 8003006070;;unbekannt;unbekannt;;POINT (562063.648978 5933757.527134);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556630;551;2;frei;Schmarjestraße 50;N53.549039 E9.936738;;+49 8003006070;;unbekannt;unbekannt;;POINT (562063.648978 5933757.527134);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556631;552;2;frei;Museumstraße 23;N53.549181 E9.934814;;+49 8003006070;;unbekannt;unbekannt;;POINT (561935.970193 5933771.649543);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556632;552;2;frei;Museumstraße 23;N53.549181 E9.934814;;+49 8003006070;;unbekannt;unbekannt;;POINT (561935.970193 5933771.649543);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556633;553;2;belegt;Fontenay 1;N53.564812 E9.995461;;+49 8003006070;;unbekannt;unbekannt;;POINT (565929.707352 5935565.003141);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556634;553;2;belegt;Fontenay 1;N53.564812 E9.995461;;+49 8003006070;;unbekannt;unbekannt;;POINT (565929.707352 5935565.003141);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556635;554;2;teilweise belegt;Steilshooper Straße 260;N53.603280 E10.051920;;+49 8003006070;;unbekannt;unbekannt;;POINT (569605.651773 5939898.214189);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556636;554;2;teilweise belegt;Steilshooper Straße 260;N53.603280 E10.051920;;+49 8003006070;;unbekannt;unbekannt;;POINT (569605.651773 5939898.214189);EPSG:25832
