adress_id,kreis_kreisfreie_stadt,ort,postleitzahl,strasse,hausnummer
11272,Landkreis Germersheim,Jockgrim,76751,Mittelwegring,1
5578,Kreisfreie Stadt Rosenheim,Rosenheim,83026,Renkenweg,1
16791,Landkreis Aurich,Ihlow,26632,1. Kompanieweg,3
11277,Landkreis Germersheim,Freckenfeld,76872,Karlshölchen,1
25708,Landkreis Emmendingen,Wyhl,79369,Pfarrgässle,2/2
14446,Landkreis Westerwaldkreis,Höhr-Grenzhausen,56203,Westerwaldstrasse,12-14
19743,Kreisfreie Stadt Darmstadt,Darmstadt,64297,Oberstraße,7
26140,Landkreis Ortenaukreis,Heslach,77716,Im Spießacker,15
10191,Landkreis Bautzen,Kamenz,1917,Friedensstraße,20
26675,Kreisfreie Stadt Hamburg,Hamburg,22527,Hagenbeckstraße,37
28583,Landkreis Kaiserslautern,Kindsbach,66862,Eisenbahnstraße,36
22094,Kreisfreie Stadt Hamburg,Hamburg,22179,Hegholt,1
26202,Landkreis Ostalbkreis,Unterschneidheim,73485,Nordhäuser Str.,34
25172,Kreisfreie Stadt Fürth,Fürth,90763,Humbserstraße,24
25943,Landkreis Karlsruhe,Ettlingen,76275,Pforzheimer Straße,156
7679,Landkreis Potsdam-Mittelmark,Belitz,14547,Str. nach Fichtenwalde,10
16053,Landkreis Fulda,Fulda,36043,Dr. Raabe Straße,7
22453,Landkreis Main-Taunus-Kreis,Sulzbach,65843,Main-Taunus-Zentrum,0
15542,Landkreis Greiz,Wünschendorf,7570,Bahnhofstraße,0
28505,Landkreis Bad Dürkheim,Lambrecht (Pfalz),67466,Wiesenstr.,9
15550,Landkreis Greiz,Berga,7980,Brauhausstraße,0
949,Landkreis Aurich,Pewsum,26736,Schatthausstraße,2a
7696,Landkreis Potsdam-Mittelmark,Raben,14823,Brennereiweg,45
18645,Kreisfreie Stadt München,München,80799,Barer Str.,29
8891,Kreisfreie Stadt Gelsenkirchen,Gelsenkirchen,45891,Adenauerallee,118
11375,Landkreis Südliche Weinstraße,Bad Bergzabern,76887,Bahnhofstraße,0
2238,Stadtkreis Heidelberg,Heidelberg,69115,Galileistraße,4
7340,Kreisfreie Stadt Berlin,Berlin,12683,Köpenicker Str.,145-147
6861,Landkreis Rottal-Inn,Eggenfelden,84307,Landshuter Straße,160
28692,Landkreis Südliche Weinstraße,Bad Bergzabern,76887,Böhämmerweg,2
25333,Kreisfreie Stadt München,München,80799,Adalbertstraße,82
5186,Landkreis Südliche Weinstraße,Bad Bergzabern,76887,Friedrich-Ebert-Straße,40
8866,Kreisfreie Stadt Essen,Essen,45329,Karnaper Straße,141
2028,Landkreis Schwarzwald-Baar-Kreis,Villingen-Schwenningen,78052,Gemeindewaldstraße,73
25628,Landkreis Breisgau-Hochschwarzwald,Oberried-Hofsgrund,79254,Die Halde,2
28581,Landkreis Germersheim,Winden,76872,Bahnhofstraße,17
20194,Landkreis Ansbach,Rothenburg,91541,Ernst-Geißendörfer-Straße,28
6212,Landkreis Kelheim,Mainburg,84048,Paul-Nappenbach-Straße,0
6213,Landkreis Kelheim,Mainburg,84048,Freisinger Straße,0
19974,Kreis Borken,Heiden,46359,Bahnhofstraße,4 A
20175,Landkreis Aichach-Friedberg,Baar,86674,Aichacher Straße,15
19884,Landkreis Vechta,Vechta,49377,Friesenstraße,1
3381,Landkreis Alb-Donau-Kreis,Schelklingen,89601,Fabrikstraße,18
12894,Landkreis Weilheim-Schongau,Pähl,82396,Wielenbacher Straße,0
24052,Kreis Pinneberg,Elmshorn,25337,Hamburger Str.,134
28230,Kreisfreie Stadt Köln,Köln-Poll,51105,Poller Kirchweg,76
7694,Landkreis Potsdam-Mittelmark,Linthe,14822,HalenseestraßWestfalenstraßee,0
21670,Kreisfreie Stadt Berlin,Berlin,14055,Halenseestraße,51
1359,Landkreis Oldenburg,Dötlingen,27801,Wildeshausen SÜD BAB,0
7089,Kreisfreie Stadt Berlin,Berlin,10115,Krausnickstr.,13
18258,Stadtkreis Mannheim,Mannheim,68165,Carl-Reiß-Platz,0
10817,Kreisfreie Stadt Essen,Essen,45279,Hellweg,179
26381,Kreis Ennepe-Ruhr-Kreis,Schwelm,58332,Rheinische Str.,31-27
8833,Kreisfreie Stadt Essen,Essen,45145,Frohnhauser Platz,0
3594,Landkreis Emmendingen,Biederbach,79215,Dorf-Dobelstr.,1c
16605,Landkreis Nordwestmecklenburg,Ostseebad Boltenhagen,23946,An der Weißen Wiek,7
16299,Landkreis Main-Kinzig-Kreis,Linsengericht - Altenhaßlau,63589,An der Wann,1
11857,Landkreis Cham,Cham,93413,Mittelweg,15
26905,Landkreis Verden,Verden,27283,Saumurplatz,0
7398,Kreisfreie Stadt Berlin,Berlin,13409,Indira-Gandhi-Str.,101
26906,Landkreis Verden,Verden,27283,Reeperbahn,0
10829,Kreisfreie Stadt Gelsenkirchen,Gelsenkirchen,45881,Grothusstrasse,23
12556,Landkreis Oberallgäu,Blaichach,87544,Sonthofener Straße,11
18271,Stadtkreis Mannheim,Mannheim,68309,Heppenheimerstraße,13-15
2328,Stadtkreis Mannheim,Mannheim,68239,Hinter den Dorfgärten,2
15678,Landkreis Bautzen,Großröhrsdorf,1900,Pulsnitzer Str.,16
2380,Stadtkreis Stuttgart,Stuttgart,70188,Wangener Str.,66
16455,Landkreis Schwalm-Eder-Kreis,Schwalmstadt,34613,Hexengässchen,0
20578,Landkreis Fürstenfeldbruck,Gröbenzell,82194,Industriestraße,31
16547,Kreisfreie Stadt Rostock,Rostock,18069,Fritz-Triddelfitz-Weg,3
19288,Landkreis Karlsruhe,Stutensee,76297,Asternweg,4a
23119,Landkreis Grafschaft Bentheim,Emlichheim,49824,Berliner Str.,54
19252,Landkreis Karlsruhe,Bretten,75015,Melanchthonstr.,91
1162,Landkreis Grafschaft Bentheim,Uelsen,49843,Zum Waldbad,6
4816,Kreisfreie Stadt Kaiserslautern,Kaiserslautern,67663,Kurt- Schumacher- Str.,1
16999,Landkreis Grafschaft Bentheim,Emlichheim,49824,Lägen Diek,8
