betreiber_id,betreiber
1431,Städtisches Kommunalunternehmen Anstalt d. öffentlichen Rechts der Stadt Baiersdorf
1373,Schreinerei M.Scheifler e.K.
2775,Dynalectro GmbH
3060,Energiewerke Zeulenroda GmbH
1276,N-ERGIE Aktiengesellschaft
1704,Stadtwerke Gunzenhausen GmbH
455,Technische Werke Schussental GmbH & Co. KG
1290,Landratsamt Regensburg
2021,EVH GmbH
3,ENTEGA Energie GmbH
1035,Stromnetz Hamburg GmbH
304,Stadt Braunlage
1244,Gemeindewerke Kirkel GmbH
126,Gebäudetechnik Bock e.K.
1385,SWN Stadtwerke Neustadt
1693,Stromversorgung Inzell eG
1886,Mediterana GmbH & Co KG
936,Holz-Hauff GmbH
1286,REWAG KG
2081,Stadtwerke Brunsbüttel GmbH
3016,HVB GmbH & Co. KG
2881,KEG SIEGEN mbH
2706,Stadtwerke Bad Neustadt Eigenbetrieb der Stadt Bad Neustadt
2199,DC Station Krankenhaus Hig
692,Park One GmbH
551,Stadtwerke Rottenburg am Neckar GmbH
1354,Stadtwerke Bad Tölz GmbH
3235,Stadtwerke Güstrow GmbH
2095,Ing.W. Riemer GmbH & CO KG
1721,Berliner Stadtwerke KommunalPartner GmbH
2097,Nord-Ostsee Automobile GmbH & Co. KG
415,Stadtwerke Neustadt a. Rbge. GmbH
1055,GLS Mobility
430,Stadtwerke Buxtehude
666,infra fürth gmbh
50,Allego GmbH
216,BS|ENERGY
3452,Volksbank eG
1709,Stadtwerke Weißenburg GmbH
2193,Extrawatt GmbH
2786,Gemeinde Wustermark (öff. Verwaltung)
2124,Stadtwerke Tornesch GmbH
92,Energieversorgung Limburg
1969,Stadtwerke Menden GmbH
13,Kaufland
2162,Stadtwerke Bad Bramstedt GmbH
1962,Stadtwerke ETO GmbH & Co. KG
3325,TEN-eG
540,SMATRICS GmbH & Co KG
2492,Stadtwerke Schwabach GmbH
4431,Stadt Schönau im Schwarzwald
1121,Energieversorgung Mittelrhein AG
4500,Paul Klingelhöfer GmbH
1812,Stadt Ludwigsfelde
1634,Stadt Kolbermoor
53,TotalEnergies
36,E.ON Drive GmbH
2520,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG
2729,VR Bank Stranberg-Herrsching-Landsberg eG
9,EWR AG
2142,CLEVER A/S
1755,Energie und Wasser Potsdam GmbH
520,Autohaus Griesbaum
4330,ACE Auto Club Europa e. V.
100,Hanauer Parkhaus GmbH
1977,MEGA Kundenparkplatz
2310,Stadtwerke Weißwasser GmbH
240,LSW Energie GmbH & Co. KG
1532,EMB Energieversorgung Miltenberg - Bürgstadt GmbH & Co. KG
638,Stadtwerke Ansbach GmbH
1113,WSW Energie & Wasser AG
4278,Stadtwerke Metzingen
80,SUN Stadtwerke Union Nordhessen GmbH & Co. KG
74,Städtische Werke AG
2131,Stadtwerke Plön Versorgungs GmbH
1569,Stadtwerke Neumarkt
2093,Vereinigte Stadtwerke GmbH
479,Stadtwerke Weinstadt (Eigenbetrieb)
4643,Solar-Technik-Enzmann Heike und Holger Enzmann GbR
917,E-Werk Mittelbaden
1648,Gemeindewerke Wendelstein KU
2087,HanseWerk Charging Station
3045,job Jenaer Objektmanagement- und Betriebsgesellschaft mbH
111,Westfalen Weser Ladeservice GmbH
3661,Hotel Oranien Gaststätten u Hotelbetriebsges. mbH
28,Lidl
2165,Schleswig-Holsteinische Landesforsten AöR
2184,SWN Stadtwerke Neumünster GmbH
2570,Wochermaier u. Glas GmbH
1260,SachsenEnergie AG
2295,Bürger Energie Drebach eG
4507,Stadtwerke Arnsberg GmbH
809,Stadtwerkenergie Ostwestfalen-Lippe GmbH
2096,Stadtwerke Husum GmbH
1905,Stadtwerke Troisdorf GmbH
2556,Volksbank Raiffeisenbank Dachau eG
3858,Preh GmbH
1456,Stadtwerke Zirndorf GmbH
1277,Parkhaus Adlerstraße GmbH
1259,Solarbetrieb Regina und Bernhard Herrmann (GbR)
2908,Gemeinde Mettingen
2090,Eider-Treene-Sorge GmbH
1530,Naturkäserei Tegernseer Land
1575,Stadtwerke Neustadt an der Aisch GmbH
353,Harald Janott e.K.
3726,Stadtwerke Rothenburg o.d.T. GmbH
4192,Kreis Herzogtum Lauenburg Gebietskörperschaft
1189,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH
3714,elektro Bühler GmbH
420,Stadtwerke Zeven GmbH
691,SWM Versorgungs GmbH
2159,Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co.KG
4617,Kfz-Meisterbetrieb Bernd Nickel
3963,UNICOBRES OHG
1126,Technische Werke Ludwigshafen am Rhein AG
317,Stadtwerke Bad Pyrmont GmbH
289,nvb Nordhorner Versorgungsbetriebe GmbH
4526,Offenbacher Verkehrs- Betriebe GmbH
